@backstage/plugin-devtools-backend,0.5.19,0.5.18,0.5.18,0.5.17,0.5.17,0.5.17,0.5.16,0.5.16,0.5.16,0.5.16,0.5.16,0.5.15,0.5.15,0.5.15,0.5.15,0.5.15,0.5.15,0.5.14,0.5.14,0.5.14,0.5.14,0.5.14,0.5.14,0.5.14,0.5.13,0.5.13,0.5.13,0.5.13,0.5.13,0.5.12,0.5.12,0.5.12,0.5.12,0.5.12,0.5.12,0.5.12,0.5.12,0.5.11,0.5.11,0.5.11,0.5.11,0.5.11,0.5.11,0.5.10,0.5.10,0.5.10,0.5.10,0.5.9,0.5.9,0.5.9,0.5.9,0.5.9,0.5.8,0.5.8,0.5.8,0.5.8,0.5.8,0.5.8,0.5.7,0.5.7,0.5.7,0.5.6,0.5.6,0.5.6,0.5.5,0.5.5,0.5.4,0.5.4,0.5.3,0.5.3,0.5.2,0.5.2,0.5.1,0.5.1,0.5.0,0.5.0,0.5.0,0.4.2,0.4.2,0.4.2,0.4.2,0.4.2,0.4.2,0.4.2,0.4.1,0.4.1,0.4.1,0.4.1,0.4.1,0.4.1,0.4.1,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0.3.10,0.3.9,0.3.9,0.3.9,0.3.9,0.3.8,0.3.8,0.3.8,0.3.7,0.3.7,0.3.6,0.3.6,0.3.5,0.3.4,0.3.4,0.3.4,0.3.4,0.3.4,0.3.4,0.3.4,0.3.4,0.3.3,0.3.3,0.3.3,0.3.3,0.3.3,0.3.3,0.3.2,0.3.2,0.3.2,0.3.1,0.3.0,0.3.0,0.2.10,0.2.9,0.2.8,0.2.7,0.2.7,0.2.6,0.2.6,0.2.6,0.2.6,0.2.5,0.2.5,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.3,0.2.3,0.2.3,0.2.3,0.2.3,0.2.3,0.2.3,0.2.2,0.2.2,0.2.1,0.2.0,0.2.0,0.2.0,0.1.5,0.1.5,0.1.5,0.1.4,0.1.3,0.1.3,0.1.2,0.1.1,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/plugin-devtools-common,0.1.25,0.1.25,0.1.25,0.1.25,0.1.25,0.1.25,0.1.24,0.1.24,0.1.24,0.1.24,0.1.24,0.1.23,0.1.23,0.1.23,0.1.23,0.1.23,0.1.23,0.1.22,0.1.22,0.1.22,0.1.22,0.1.22,0.1.22,0.1.22,0.1.21,0.1.21,0.1.21,0.1.21,0.1.21,0.1.20,0.1.20,0.1.20,0.1.20,0.1.20,0.1.20,0.1.20,0.1.20,0.1.19,0.1.19,0.1.19,0.1.19,0.1.19,0.1.19,0.1.18,0.1.18,0.1.18,0.1.18,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.15,0.1.15,0.1.15,0.1.15,0.1.15,0.1.15,0.1.15,0.1.15,0.1.14,0.1.14,0.1.14,0.1.13,0.1.13,0.1.13,0.1.13,0.1.13,0.1.13,0.1.13,0.1.12,0.1.12,0.1.12,0.1.12,0.1.12,0.1.12,0.1.12,0.1.12,0.1.12,0.1.12,0.1.12,0.1.12,0.1.12,0.1.12,0.1.12,0.1.12,0.1.12,0.1.11,0.1.11,0.1.11,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.7,0.1.7,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.2,0.1.1,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/plugin-devtools-react,0.2.4,0.2.3,0.2.3,0.2.2,0.2.2,0.2.2,0.2.1,0.2.1,0.2.1,0.2.1,0.2.1,0.2.0,0.2.0,0.2.0,0.2.0,0.2.0,0.2.0,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/plugin-dynatrace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0.4,10.0.4,10.0.4,10.0.4,10.0.3,10.0.3,10.0.2,10.0.2,10.0.2,10.0.1,10.0.0,10.0.0,9.0.0,9.0.0,9.0.0,9.0.0,9.0.0,8.0.3,8.0.3,8.0.3,8.0.3,8.0.2,8.0.2,8.0.1,8.0.1,8.0.0,8.0.0,8.0.0,7.0.5,7.0.5,7.0.5,7.0.5,7.0.5,7.0.5,7.0.5,7.0.4,7.0.4,7.0.4,7.0.4,7.0.4,7.0.4,7.0.3,7.0.3,7.0.3,7.0.2,7.0.1,7.0.1,7.0.0,6.0.0,5.0.0,5.0.0,5.0.0,4.0.0,4.0.0,4.0.0,3.0.0,3.0.0,2.0.0,2.0.0,1.0.4,1.0.4,1.0.3,1.0.2,1.0.1,1.0.1,1.0.1,1.0.1,1.0.0,1.0.0,1.0.0,0.2.0,0.1.2,0.1.2,0.1.1,0.1.0,0.1.0,,,,,,,,,
@backstage/plugin-entity-feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2.18,0.2.18,0.2.18,0.2.18,0.2.17,0.2.17,0.2.16,0.2.16,0.2.16,0.2.15,0.2.14,0.2.14,0.2.13,0.2.13,0.2.13,0.2.13,0.2.13,0.2.12,0.2.12,0.2.12,0.2.12,0.2.11,0.2.11,0.2.10,0.2.10,0.2.9,0.2.9,0.2.9,0.2.8,0.2.8,0.2.8,0.2.8,0.2.8,0.2.8,0.2.8,0.2.7,0.2.7,0.2.7,0.2.7,0.2.7,0.2.7,0.2.6,0.2.6,0.2.6,0.2.5,0.2.4,0.2.4,0.2.3,0.2.2,0.2.1,0.2.1,0.2.1,0.2.0,0.2.0,0.2.0,0.1.1,0.1.1,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/plugin-entity-feedback-backend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2.15,0.2.15,0.2.15,0.2.15,0.2.14,0.2.14,0.2.13,0.2.13,0.2.13,0.2.12,0.2.11,0.2.11,0.2.10,0.2.9,0.2.8,0.2.7,0.2.7,0.2.6,0.2.6,0.2.6,0.2.6,0.2.5,0.2.5,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.3,0.2.3,0.2.3,0.2.3,0.2.3,0.2.3,0.2.3,0.2.2,0.2.2,0.2.1,0.2.0,0.2.0,0.2.0,0.1.8,0.1.8,0.1.8,0.1.7,0.1.6,0.1.6,0.1.5,0.1.4,0.1.3,0.1.3,0.1.3,0.1.2,0.1.2,0.1.2,0.1.1,0.1.1,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/plugin-entity-feedback-common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1.4,0.1.4,0.1.4,0.1.4,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.3,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.0,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/plugin-entity-validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1.20,0.1.20,0.1.20,0.1.20,0.1.19,0.1.19,0.1.18,0.1.18,0.1.18,0.1.17,0.1.16,0.1.16,0.1.15,0.1.15,0.1.15,0.1.15,0.1.15,0.1.14,0.1.14,0.1.14,0.1.14,0.1.13,0.1.13,0.1.12,0.1.12,0.1.11,0.1.11,0.1.11,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.8,0.1.8,0.1.8,0.1.7,0.1.6,0.1.6,0.1.5,0.1.4,0.1.3,0.1.3,0.1.3,0.1.2,0.1.2,0.1.2,0.1.1,0.1.1,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/plugin-events-backend,0.6.4,0.6.3,0.6.3,0.6.2,0.6.2,0.6.2,0.6.1,0.6.1,0.6.1,0.6.1,0.6.1,0.6.0,0.6.0,0.6.0,0.6.0,0.6.0,0.6.0,0.5.11,0.5.11,0.5.11,0.5.11,0.5.11,0.5.11,0.5.11,0.5.10,0.5.10,0.5.10,0.5.10,0.5.10,0.5.9,0.5.9,0.5.9,0.5.9,0.5.9,0.5.9,0.5.9,0.5.9,0.5.8,0.5.8,0.5.8,0.5.8,0.5.8,0.5.8,0.5.7,0.5.7,0.5.7,0.5.7,0.5.6,0.5.6,0.5.6,0.5.6,0.5.6,0.5.5,0.5.5,0.5.5,0.5.5,0.5.5,0.5.5,0.5.4,0.5.4,0.5.4,0.5.3,0.5.3,0.5.3,0.5.2,0.5.2,0.5.1,0.5.1,0.5.0,0.5.0,0.4.3,0.4.2,0.4.1,0.4.1,0.4.0,0.4.0,0.4.0,0.3.16,0.3.16,0.3.16,0.3.16,0.3.16,0.3.16,0.3.16,0.3.15,0.3.15,0.3.15,0.3.15,0.3.14,0.3.13,0.3.13,0.3.12,0.3.12,0.3.12,0.3.12,0.3.12,0.3.11,0.3.10,0.3.10,0.3.10,0.3.10,0.3.9,0.3.9,0.3.9,0.3.8,0.3.8,0.3.7,0.3.7,0.3.6,0.3.5,0.3.5,0.3.5,0.3.5,0.3.5,0.3.5,0.3.5,0.3.5,0.3.4,0.3.4,0.3.4,0.3.4,0.3.4,0.3.4,0.3.3,0.3.2,0.3.2,0.3.1,0.3.0,0.3.0,0.2.22,0.2.21,0.2.20,0.2.19,0.2.19,0.2.18,0.2.18,0.2.18,0.2.18,0.2.17,0.2.17,0.2.16,0.2.16,0.2.16,0.2.16,0.2.16,0.2.15,0.2.15,0.2.15,0.2.15,0.2.15,0.2.15,0.2.15,0.2.14,0.2.14,0.2.13,0.2.12,0.2.12,0.2.12,0.2.11,0.2.11,0.2.11,0.2.10,0.2.9,0.2.9,0.2.8,0.2.7,0.2.6,0.2.6,0.2.6,0.2.5,0.2.5,0.2.5,0.2.4,0.2.4,0.2.3,0.2.3,0.2.2,0.2.1,0.2.0,0.2.0,0.1.0,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,
@backstage/plugin-events-backend-module-aws-sqs,0.4.24,0.4.23,0.4.23,0.4.22,0.4.22,0.4.22,0.4.21,0.4.21,0.4.21,0.4.21,0.4.21,0.4.20,0.4.20,0.4.20,0.4.20,0.4.20,0.4.20,0.4.19,0.4.19,0.4.19,0.4.19,0.4.19,0.4.19,0.4.19,0.4.18,0.4.18,0.4.18,0.4.18,0.4.18,0.4.18,0.4.18,0.4.18,0.4.18,0.4.18,0.4.18,0.4.18,0.4.18,0.4.17,0.4.17,0.4.17,0.4.17,0.4.17,0.4.17,0.4.16,0.4.16,0.4.16,0.4.16,0.4.15,0.4.15,0.4.15,0.4.15,0.4.15,0.4.14,0.4.14,0.4.14,0.4.14,0.4.14,0.4.14,0.4.13,0.4.13,0.4.13,0.4.12,0.4.12,0.4.12,0.4.11,0.4.11,0.4.10,0.4.10,0.4.9,0.4.9,0.4.8,0.4.8,0.4.7,0.4.7,0.4.6,0.4.6,0.4.6,0.4.5,0.4.5,0.4.5,0.4.5,0.4.5,0.4.5,0.4.5,0.4.4,0.4.4,0.4.4,0.4.4,0.4.4,0.4.3,0.4.3,0.4.2,0.4.2,0.4.2,0.4.2,0.4.2,0.4.1,0.4.0,0.4.0,0.4.0,0.4.0,0.3.8,0.3.8,0.3.8,0.3.7,0.3.7,0.3.6,0.3.6,0.3.5,0.3.4,0.3.4,0.3.4,0.3.4,0.3.4,0.3.4,0.3.4,0.3.4,0.3.3,0.3.3,0.3.3,0.3.3,0.3.3,0.3.3,0.3.2,0.3.2,0.3.2,0.3.1,0.3.0,0.3.0,0.2.16,0.2.15,0.2.14,0.2.13,0.2.13,0.2.12,0.2.12,0.2.12,0.2.12,0.2.11,0.2.11,0.2.10,0.2.10,0.2.10,0.2.10,0.2.10,0.2.9,0.2.9,0.2.9,0.2.9,0.2.9,0.2.9,0.2.9,0.2.8,0.2.8,0.2.7,0.2.6,0.2.6,0.2.6,0.2.5,0.2.5,0.2.5,0.2.4,0.2.3,0.2.3,0.2.2,0.2.1,0.2.0,0.2.0,0.2.0,0.1.6,0.1.6,0.1.6,0.1.5,0.1.5,0.1.4,0.1.4,0.1.3,0.1.2,0.1.1,0.1.1,0.1.0,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,
@backstage/plugin-events-backend-module-azure,0.2.33,0.2.32,0.2.32,0.2.31,0.2.31,0.2.31,0.2.30,0.2.30,0.2.30,0.2.30,0.2.30,0.2.29,0.2.29,0.2.29,0.2.29,0.2.29,0.2.29,0.2.28,0.2.28,0.2.28,0.2.28,0.2.28,0.2.28,0.2.28,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.26,0.2.26,0.2.26,0.2.26,0.2.26,0.2.26,0.2.25,0.2.25,0.2.25,0.2.25,0.2.24,0.2.24,0.2.24,0.2.24,0.2.24,0.2.23,0.2.23,0.2.23,0.2.23,0.2.23,0.2.23,0.2.22,0.2.22,0.2.22,0.2.21,0.2.21,0.2.21,0.2.20,0.2.20,0.2.19,0.2.19,0.2.18,0.2.18,0.2.17,0.2.17,0.2.16,0.2.16,0.2.15,0.2.15,0.2.15,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.13,0.2.13,0.2.13,0.2.13,0.2.13,0.2.12,0.2.12,0.2.11,0.2.11,0.2.11,0.2.11,0.2.11,0.2.10,0.2.9,0.2.9,0.2.9,0.2.9,0.2.8,0.2.8,0.2.8,0.2.7,0.2.7,0.2.6,0.2.6,0.2.5,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.3,0.2.3,0.2.3,0.2.3,0.2.3,0.2.3,0.2.2,0.2.2,0.2.2,0.2.1,0.2.0,0.2.0,0.1.23,0.1.22,0.1.21,0.1.20,0.1.20,0.1.19,0.1.19,0.1.19,0.1.19,0.1.18,0.1.18,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.15,0.1.15,0.1.14,0.1.13,0.1.13,0.1.13,0.1.12,0.1.12,0.1.12,0.1.11,0.1.10,0.1.10,0.1.9,0.1.8,0.1.7,0.1.7,0.1.7,0.1.6,0.1.6,0.1.6,0.1.5,0.1.5,0.1.4,0.1.4,0.1.3,0.1.2,0.1.1,0.1.1,0.1.0,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,
@backstage/plugin-events-backend-module-bitbucket-cloud,0.2.33,0.2.32,0.2.32,0.2.31,0.2.31,0.2.31,0.2.30,0.2.30,0.2.30,0.2.30,0.2.30,0.2.29,0.2.29,0.2.29,0.2.29,0.2.29,0.2.29,0.2.28,0.2.28,0.2.28,0.2.28,0.2.28,0.2.28,0.2.28,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.26,0.2.26,0.2.26,0.2.26,0.2.26,0.2.26,0.2.25,0.2.25,0.2.25,0.2.25,0.2.24,0.2.24,0.2.24,0.2.24,0.2.24,0.2.23,0.2.23,0.2.23,0.2.23,0.2.23,0.2.23,0.2.22,0.2.22,0.2.22,0.2.21,0.2.21,0.2.21,0.2.20,0.2.20,0.2.19,0.2.19,0.2.18,0.2.18,0.2.17,0.2.17,0.2.16,0.2.16,0.2.15,0.2.15,0.2.15,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.13,0.2.13,0.2.13,0.2.13,0.2.13,0.2.12,0.2.12,0.2.11,0.2.11,0.2.11,0.2.11,0.2.11,0.2.10,0.2.9,0.2.9,0.2.9,0.2.9,0.2.8,0.2.8,0.2.8,0.2.7,0.2.7,0.2.6,0.2.6,0.2.5,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.3,0.2.3,0.2.3,0.2.3,0.2.3,0.2.3,0.2.2,0.2.2,0.2.2,0.2.1,0.2.0,0.2.0,0.1.23,0.1.22,0.1.21,0.1.20,0.1.20,0.1.19,0.1.19,0.1.19,0.1.19,0.1.18,0.1.18,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.15,0.1.15,0.1.14,0.1.13,0.1.13,0.1.13,0.1.12,0.1.12,0.1.12,0.1.11,0.1.10,0.1.10,0.1.9,0.1.8,0.1.7,0.1.7,0.1.7,0.1.6,0.1.6,0.1.6,0.1.5,0.1.5,0.1.4,0.1.4,0.1.3,0.1.2,0.1.1,0.1.1,0.1.0,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,
@backstage/plugin-events-backend-module-bitbucket-server,0.1.14,0.1.13,0.1.13,0.1.12,0.1.12,0.1.12,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.9,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.8,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.6,0.1.6,0.1.6,0.1.6,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.3,0.1.3,0.1.3,0.1.2,0.1.2,0.1.2,0.1.1,0.1.1,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/plugin-events-backend-module-gerrit,0.2.33,0.2.32,0.2.32,0.2.31,0.2.31,0.2.31,0.2.30,0.2.30,0.2.30,0.2.30,0.2.30,0.2.29,0.2.29,0.2.29,0.2.29,0.2.29,0.2.29,0.2.28,0.2.28,0.2.28,0.2.28,0.2.28,0.2.28,0.2.28,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.27,0.2.26,0.2.26,0.2.26,0.2.26,0.2.26,0.2.26,0.2.25,0.2.25,0.2.25,0.2.25,0.2.24,0.2.24,0.2.24,0.2.24,0.2.24,0.2.23,0.2.23,0.2.23,0.2.23,0.2.23,0.2.23,0.2.22,0.2.22,0.2.22,0.2.21,0.2.21,0.2.21,0.2.20,0.2.20,0.2.19,0.2.19,0.2.18,0.2.18,0.2.17,0.2.17,0.2.16,0.2.16,0.2.15,0.2.15,0.2.15,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.13,0.2.13,0.2.13,0.2.13,0.2.13,0.2.12,0.2.12,0.2.11,0.2.11,0.2.11,0.2.11,0.2.11,0.2.10,0.2.9,0.2.9,0.2.9,0.2.9,0.2.8,0.2.8,0.2.8,0.2.7,0.2.7,0.2.6,0.2.6,0.2.5,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.3,0.2.3,0.2.3,0.2.3,0.2.3,0.2.3,0.2.2,0.2.2,0.2.2,0.2.1,0.2.0,0.2.0,0.1.23,0.1.22,0.1.21,0.1.20,0.1.20,0.1.19,0.1.19,0.1.19,0.1.19,0.1.18,0.1.18,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.15,0.1.15,0.1.14,0.1.13,0.1.13,0.1.13,0.1.12,0.1.12,0.1.12,0.1.11,0.1.10,0.1.10,0.1.9,0.1.8,0.1.7,0.1.7,0.1.7,0.1.6,0.1.6,0.1.6,0.1.5,0.1.5,0.1.4,0.1.4,0.1.3,0.1.2,0.1.1,0.1.1,0.1.0,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,
@backstage/plugin-events-backend-module-github,0.4.14,0.4.13,0.4.13,0.4.12,0.4.12,0.4.12,0.4.11,0.4.11,0.4.11,0.4.11,0.4.11,0.4.10,0.4.10,0.4.10,0.4.10,0.4.10,0.4.10,0.4.9,0.4.9,0.4.9,0.4.9,0.4.9,0.4.9,0.4.9,0.4.8,0.4.8,0.4.8,0.4.8,0.4.8,0.4.7,0.4.7,0.4.7,0.4.7,0.4.7,0.4.7,0.4.7,0.4.7,0.4.6,0.4.6,0.4.6,0.4.6,0.4.6,0.4.6,0.4.5,0.4.5,0.4.5,0.4.5,0.4.4,0.4.4,0.4.4,0.4.4,0.4.4,0.4.3,0.4.3,0.4.3,0.4.3,0.4.3,0.4.3,0.4.2,0.4.2,0.4.2,0.4.1,0.4.1,0.4.1,0.4.0,0.4.0,0.3.0,0.3.0,0.2.18,0.2.18,0.2.17,0.2.17,0.2.16,0.2.16,0.2.15,0.2.15,0.2.15,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.13,0.2.13,0.2.13,0.2.13,0.2.13,0.2.12,0.2.12,0.2.11,0.2.11,0.2.11,0.2.11,0.2.11,0.2.10,0.2.9,0.2.9,0.2.9,0.2.9,0.2.8,0.2.8,0.2.8,0.2.7,0.2.7,0.2.6,0.2.6,0.2.5,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.3,0.2.3,0.2.3,0.2.3,0.2.3,0.2.3,0.2.2,0.2.2,0.2.2,0.2.1,0.2.0,0.2.0,0.1.23,0.1.22,0.1.21,0.1.20,0.1.20,0.1.19,0.1.19,0.1.19,0.1.19,0.1.18,0.1.18,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.15,0.1.15,0.1.14,0.1.13,0.1.13,0.1.13,0.1.12,0.1.12,0.1.12,0.1.11,0.1.10,0.1.10,0.1.9,0.1.8,0.1.7,0.1.7,0.1.7,0.1.6,0.1.6,0.1.6,0.1.5,0.1.5,0.1.4,0.1.4,0.1.3,0.1.2,0.1.1,0.1.1,0.1.0,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,
@backstage/plugin-events-backend-module-gitlab,0.3.14,0.3.13,0.3.13,0.3.12,0.3.12,0.3.12,0.3.11,0.3.11,0.3.11,0.3.11,0.3.11,0.3.10,0.3.10,0.3.10,0.3.10,0.3.10,0.3.10,0.3.9,0.3.9,0.3.9,0.3.9,0.3.9,0.3.9,0.3.9,0.3.8,0.3.8,0.3.8,0.3.8,0.3.8,0.3.8,0.3.8,0.3.8,0.3.8,0.3.8,0.3.8,0.3.8,0.3.8,0.3.7,0.3.7,0.3.7,0.3.7,0.3.7,0.3.7,0.3.6,0.3.6,0.3.6,0.3.6,0.3.5,0.3.5,0.3.5,0.3.5,0.3.5,0.3.4,0.3.4,0.3.4,0.3.4,0.3.4,0.3.4,0.3.3,0.3.3,0.3.3,0.3.2,0.3.2,0.3.2,0.3.1,0.3.1,0.3.0,0.3.0,0.2.18,0.2.18,0.2.17,0.2.17,0.2.16,0.2.16,0.2.15,0.2.15,0.2.15,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.14,0.2.13,0.2.13,0.2.13,0.2.13,0.2.13,0.2.12,0.2.12,0.2.11,0.2.11,0.2.11,0.2.11,0.2.11,0.2.10,0.2.9,0.2.9,0.2.9,0.2.9,0.2.8,0.2.8,0.2.8,0.2.7,0.2.7,0.2.6,0.2.6,0.2.5,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.4,0.2.3,0.2.3,0.2.3,0.2.3,0.2.3,0.2.3,0.2.2,0.2.2,0.2.2,0.2.1,0.2.0,0.2.0,0.1.23,0.1.22,0.1.21,0.1.20,0.1.20,0.1.19,0.1.19,0.1.19,0.1.19,0.1.18,0.1.18,0.1.17,0.1.17,0.1.17,0.1.17,0.1.17,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.16,0.1.15,0.1.15,0.1.14,0.1.13,0.1.13,0.1.13,0.1.12,0.1.12,0.1.12,0.1.11,0.1.10,0.1.10,0.1.9,0.1.8,0.1.7,0.1.7,0.1.7,0.1.6,0.1.6,0.1.6,0.1.5,0.1.5,0.1.4,0.1.4,0.1.3,0.1.2,0.1.1,0.1.1,0.1.0,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,
