Package,Backstage role,Description
@backstage/plugin-home,frontend-plugin,A Backstage plugin that helps you build a home page
@backstage/plugin-home-react,web-library,A Backstage plugin that contains react components helps you build a home page
@backstage/plugin-kubernetes,frontend-plugin,A Backstage plugin that integrates towards Kubernetes
@backstage/plugin-kubernetes-backend,backend-plugin,A Backstage backend plugin that integrates towards Kubernetes
@backstage/plugin-kubernetes-cluster,frontend-plugin,A Backstage plugin that shows details of Kubernetes clusters
@backstage/plugin-kubernetes-common,common-library,"Common functionalities for kubernetes, to be shared between kubernetes and kubernetes-backend plugin"
@backstage/plugin-kubernetes-node,node-library,Node.js library for the kubernetes plugin
@backstage/plugin-kubernetes-react,web-library,Web library for the kubernetes-react plugin
@backstage/plugin-mcp-actions-backend,backend-plugin,
@backstage/plugin-mui-to-bui,frontend-plugin,
@backstage/plugin-notifications,frontend-plugin,
@backstage/plugin-notifications-backend,backend-plugin,
@backstage/plugin-notifications-backend-module-email,backend-plugin-module,The email backend module for the notifications plugin.
@backstage/plugin-notifications-backend-module-slack,backend-plugin-module,The slack backend module for the notifications plugin.
@backstage/plugin-notifications-common,common-library,Common functionalities for the notifications plugin
@backstage/plugin-notifications-node,node-library,Node.js library for the notifications plugin
@backstage/plugin-org,frontend-plugin,A Backstage plugin that helps you create entity pages for your organization
@backstage/plugin-org-react,web-library,
@backstage/plugin-permission-backend,backend-plugin,
@backstage/plugin-permission-backend-module-allow-all-policy,backend-plugin-module,Allow all policy backend module for the permission plugin.
@backstage/plugin-permission-common,common-library,Isomorphic types and client for Backstage permissions and authorization
@backstage/plugin-permission-node,node-library,Common permission and authorization utilities for backend plugins
@backstage/plugin-permission-react,web-library,
@backstage/plugin-proxy-backend,backend-plugin,A Backstage backend plugin that helps you set up proxy endpoints in the backend
@backstage/plugin-proxy-node,node-library,The plugin-proxy-node module for @backstage/plugin-proxy-backend
@backstage/plugin-scaffolder,frontend-plugin,The Backstage plugin that helps you create new things
@backstage/plugin-scaffolder-backend,backend-plugin,The Backstage backend plugin that helps you create new things
@backstage/plugin-scaffolder-backend-module-azure,backend-plugin-module,The azure module for @backstage/plugin-scaffolder-backend
@backstage/plugin-scaffolder-backend-module-bitbucket-cloud,backend-plugin-module,The Bitbucket Cloud module for @backstage/plugin-scaffolder-backend
@backstage/plugin-scaffolder-backend-module-bitbucket-server,backend-plugin-module,The Bitbucket Server module for @backstage/plugin-scaffolder-backend
@backstage/plugin-scaffolder-backend-module-confluence-to-markdown,backend-plugin-module,The confluence-to-markdown module for @backstage/plugin-scaffolder-backend
@backstage/plugin-scaffolder-backend-module-cookiecutter,backend-plugin-module,A module for the scaffolder backend that lets you template projects using cookiecutter
