Package,next,1.11-m2,1.11-m1,1.10,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1.0
@backstage/plugin-catalog-node,2.2.4-next.0,2.2.3,2.2.2,2.1.0,1.20.0,1.18.0,1.17.0,1.16.0,1.15.1,1.13.1,1.12.4,1.11.1,1.7.3,1.4.7
@backstage/plugin-catalog-react,3.2.1-next.0,3.2.0,3.1.0,2.1.1,1.21.3,1.20.1,1.18.0,1.15.2,1.15.1,1.14.0,1.12.2,1.11.3,1.10.0,1.8.5
@backstage/plugin-catalog-unprocessed-entities,0.2.34-next.0,0.2.33,0.2.32,0.2.28,0.2.23,0.2.20,0.2.17,0.2.14,0.2.13,0.2.9,0.2.6,0.2.3,0.1.8,0.1.4
@backstage/plugin-catalog-unprocessed-entities-common,0.0.16,0.0.16,0.0.16,0.0.13,0.0.11,0.0.9,0.0.8,0.0.7,0.0.7,0.0.4,0.0.3,0.0.1,,
@backstage/plugin-cicd-statistics,,,,,,,,,,,,0.1.37,0.1.32,0.1.27
@backstage/plugin-cicd-statistics-module-gitlab,,,,,,,,,,,,0.1.31,0.1.26,0.1.21
@backstage/plugin-circleci,,,,,,,,,,,,0.3.35,0.3.30,0.3.25
@backstage/plugin-cloudbuild,,,,,,,,,,,,0.5.2,0.4.0,0.3.25
@backstage/plugin-code-climate,,,,,,,,,,,,0.1.35,0.1.30,0.1.25
@backstage/plugin-code-coverage,,,,,,,,,,,,0.2.28,0.2.23,0.2.18
@backstage/plugin-code-coverage-backend,,,,,,,,,,,,0.2.32,0.2.27,0.2.20
@backstage/plugin-codescene,,,,,,,,,,,,0.1.27,0.1.22,0.1.18
@backstage/plugin-config-schema,0.1.83-next.0,0.1.82,0.1.81,0.1.78,0.1.74,0.1.71,0.1.68,0.1.65,0.1.64,0.1.60,0.1.57,0.1.54,0.1.50,0.1.46
@backstage/plugin-cost-insights,,,,,,,,,,,,0.12.24,0.12.19,0.12.14
@backstage/plugin-cost-insights-common,,,,,,,,,,,,0.1.3,0.1.2,0.1.2
@backstage/plugin-devtools,0.1.42-next.0,0.1.41,0.1.40,0.1.37,0.1.33,0.1.30,0.1.27,0.1.24,0.1.23,0.1.19,0.1.16,0.1.13,0.1.9,0.1.5
@backstage/plugin-devtools-backend,0.5.20-next.0,0.5.19,0.5.18,0.5.15,0.5.11,0.5.8,0.5.5,0.5.2,0.5.1,0.4.1,0.3.8,0.3.3,0.2.10,0.2.3
@backstage/plugin-devtools-common,0.1.25,0.1.25,0.1.25,0.1.23,0.1.19,0.1.17,0.1.16,0.1.15,0.1.15,0.1.12,0.1.11,0.1.9,0.1.8,0.1.5
@backstage/plugin-devtools-react,0.2.4,0.2.4,0.2.3,0.2.0,,,,,,,,,,
@backstage/plugin-dynatrace,,,,,,,,,,,,10.0.4,9.0.0,7.0.5
@backstage/plugin-entity-feedback,,,,,,,,,,,,0.2.18,0.2.13,0.2.8
@backstage/plugin-entity-feedback-backend,,,,,,,,,,,,0.2.15,0.2.10,0.2.3
@backstage/plugin-entity-feedback-common,,,,,,,,,,,,0.1.4,0.1.3,0.1.3
@backstage/plugin-entity-validation,,,,,,,,,,,,0.1.20,0.1.15,0.1.10
@backstage/plugin-events-backend,0.6.5-next.0,0.6.4,0.6.3,0.6.0,0.5.8,0.5.5,0.5.2,0.4.3,0.4.1,0.3.15,0.3.9,0.3.4,0.2.22,0.2.15
@backstage/plugin-events-backend-module-aws-sqs,0.4.25-next.0,0.4.24,0.4.23,0.4.20,0.4.17,0.4.14,0.4.11,0.4.8,0.4.7,0.4.4,0.3.8,0.3.3,0.2.16,0.2.9
@backstage/plugin-events-backend-module-azure,0.2.34-next.0,0.2.33,0.2.32,0.2.29,0.2.26,0.2.23,0.2.20,0.2.17,0.2.16,0.2.13,0.2.8,0.2.3,0.1.23,0.1.16
@backstage/plugin-events-backend-module-bitbucket-cloud,0.2.34-next.0,0.2.33,0.2.32,0.2.29,0.2.26,0.2.23,0.2.20,0.2.17,0.2.16,0.2.13,0.2.8,0.2.3,0.1.23,0.1.16
@backstage/plugin-events-backend-module-bitbucket-server,0.1.15-next.0,0.1.14,0.1.13,0.1.10,0.1.7,0.1.4,0.1.1,,,,,,,
@backstage/plugin-events-backend-module-gerrit,0.2.34-next.0,0.2.33,0.2.32,0.2.29,0.2.26,0.2.23,0.2.20,0.2.17,0.2.16,0.2.13,0.2.8,0.2.3,0.1.23,0.1.16
@backstage/plugin-events-backend-module-github,0.4.15-next.0,0.4.14,0.4.13,0.4.10,0.4.6,0.4.3,0.4.0,0.2.17,0.2.16,0.2.13,0.2.8,0.2.3,0.1.23,0.1.16
@backstage/plugin-events-backend-module-gitlab,0.3.15-next.0,0.3.14,0.3.13,0.3.10,0.3.7,0.3.4,0.3.1,0.2.17,0.2.16,0.2.13,0.2.8,0.2.3,0.1.23,0.1.16
@backstage/plugin-events-backend-module-google-pubsub,0.2.6-next.0,0.2.5,0.2.4,0.2.1,0.1.6,0.1.3,0.1.0,,,,,,,
@backstage/plugin-events-backend-module-kafka,0.3.7-next.0,0.3.6,0.3.5,0.3.2,0.1.5,0.1.2,,,,,,,,
